:-),joy
:),joy
:o),joy
:],joy
:3,joy
:c),joy
:>,joy
=],joy
8),joy
=),joy
:},joy
:^),joy
:-D,joy
:D,joy
8-D,joy
8D,joy
x-D,joy
xD,joy
X-D,joy
XD,joy
=-D,joy
=D,joy
=-3,joy
=3,joy
B^D,joy
:-)),joy
:'-),joy
:'),joy
>:[,sadness
:-(,sadness
:(,sadness
:-c,sadness
:c,sadness
:-<,sadness
:<,sadness
:-[,sadness
:[,sadness
:{,sadness
:'-(,sadness
:'(,sadness
QQ,sadness
D-':,sadness
v.v,sadness
DX,sadness
D=,sadness
D:,sadness
D:<,sadness
:-||,anger
:@,anger
>:O,surprise
:-O,surprise
oO,surprise
:O,surprise
°o°,surprise
°O°,surprise
:O,surprise
o_O,surprise
o_0,surprise
o.O,surprise
8-0,surprise
DX,disgust
D=,disgust
D;,disgust
D:,disgust
D:<,disgust
:$,disgust
DX,fear
D;,fear
D=,fear
D:,fear
D:<,fear
:$,fear
